0.32,0.88,12,8,0.2,0.55,0.61,0.07,0.57,0.66,0.25,0.51,0.57,0.77,0.11,0.55,0.52,0.04,0.92,0.17,0.51,0.7,0.12, 0.7939189189189189
0.85,0.72,14,9,0.02,0.3,0.8,0.54,0.88,0.74,0.34,0.62,0.4,0.8,0.31,0.54,0.08,0.06,0.77,0.88,0.43,0.17,0.15, 0.49731182795698925
0.06,0.78,13,15,0.77,0.06,0.01,0.26,0.37,0.04,0.57,0.77,0.79,0.36,0.03,0.01,0.71,0.38,0.09,0.59,0.75,0.08,0.98, 0.7294994675186368
0.53,0.08,8,3,0.83,0.52,0.58,0.01,0.83,0.01,0.34,0.72,0.47,0.1,0.85,0.74,0.66,0.93,0.89,0.42,0.45,0.21,0.35, 0.6876278118609407
0.4,0.13,2,1,0.82,0.97,0.54,0.99,0.39,0.95,0.99,0.48,0.03,0.41,0.82,0.04,0.88,0.07,0.77,0.8,0.13,0.69,0.78, 0.6935817805383023
0.34,0.24,4,5,0.55,0.72,0.51,0.86,0.19,0.36,0.16,0.28,0.33,0.1,0.57,0.57,0.21,0.05,0.49,0.45,0.9,0.24,0.73, 0.7403100775193798
0.58,0.71,7,5,0.62,0.53,0.56,0.5,0.23,0.75,0.52,0.05,0.87,0.3,0.93,0.58,0.53,0.77,0.53,0.25,0.52,0.05,0.65, 0.6363636363636364
0.76,0.69,6,1,0.29,0.41,0.52,0.45,0.01,0.92,0.14,0.6,0.53,0.91,0.21,0.99,0.03,0.5,0.11,0.67,0.05,0.82,0.6, 0.61395101171459
0.75,0.99,5,15,0.85,0.04,0.69,0.03,0.13,0.11,0.29,0.11,0.72,0.06,0.61,0.41,0.14,0.19,0.64,0.5,0.53,0.75,0.82, 0.7620578778135049
0.48,0.84,7,10,0.47,0.3,0.73,0.79,0.86,0.89,0.67,0.55,0.65,0.33,0.01,0.88,0.62,0.18,0.19,0.52,0.57,0.84,0.0, 0.7887731481481483
0.22,0.14,10,3,0.04,0.78,0.76,0.22,0.25,0.59,0.13,0.67,0.48,0.12,0.3,1.0,0.36,0.24,0.76,0.1,0.83,0.46,0.89, 0.7338541666666666
0.66,0.28,9,10,0.45,0.03,0.34,0.31,0.12,0.36,0.07,0.99,0.78,0.45,0.49,0.77,0.07,0.64,0.02,0.56,0.74,0.93,0.34, 0.5666666666666667
